Longitude,Latitude
342.509398,-69.6563661
342.506655,-69.6563802
342.503912,-69.6563943
342.50117,-69.6564084
342.498429,-69.6564224
342.495688,-69.6564363
342.492947,-69.6564502
342.490208,-69.6564641
342.487468,-69.6564779
342.484729,-69.6564917
342.481991,-69.6565055
342.479253,-69.6565192
342.476515,-69.6565328
342.473778,-69.6565464
342.471042,-69.65656
342.468306,-69.6565736
342.46557,-69.6565871
342.462835,-69.6566005
342.460101,-69.6566139
342.457367,-69.6566273
342.454633,-69.6566406
342.4519,-69.6566539
342.449168,-69.6566672
342.446436,-69.6566804
342.443704,-69.6566935
342.440973,-69.6567066
342.438242,-69.6567197
342.435512,-69.6567328
342.432783,-69.6567458
342.430054,-69.6567587
342.427325,-69.6567716
342.424597,-69.6567845
342.42187,-69.6567973
342.419143,-69.6568101
342.416416,-69.6568229
342.41369,-69.6568356
342.410964,-69.6568482
342.408239,-69.6568609
342.405515,-69.6568734
342.402791,-69.656886
342.400067,-69.6568985
342.397344,-69.6569109
342.394621,-69.6569234
342.391899,-69.6569357
342.389177,-69.6569481
342.386456,-69.6569604
342.383736,-69.6569726
342.381015,-69.6569848
342.378296,-69.656997
342.375577,-69.6570091
342.372885,-69.6570211
342.70242,-69.6543483
342.699642,-69.6543654
342.696864,-69.6543825
342.694087,-69.6543995
342.69131,-69.6544165
342.688534,-69.6544334
342.685759,-69.6544503
342.682983,-69.6544672
342.680209,-69.654484
342.677435,-69.6545008
342.674661,-69.6545175
342.671888,-69.6545342
342.669115,-69.6545509
342.666343,-69.6545675
342.663572,-69.654584
342.6608,-69.6546005
342.65803,-69.654617
342.65526,-69.6546334
342.65249,-69.6546498
342.649721,-69.6546661
342.646953,-69.6546824
342.644185,-69.6546987
342.641417,-69.6547149
342.63865,-69.6547311
342.635884,-69.6547472
342.633118,-69.6547633
342.630352,-69.6547793
342.627587,-69.6547953
342.624823,-69.6548112
342.622059,-69.6548271
342.619295,-69.654843
342.616532,-69.6548588
342.61377,-69.6548746
342.611008,-69.6548903
342.608246,-69.654906
342.605485,-69.6549217
342.602725,-69.6549373
342.599965,-69.6549529
342.597206,-69.6549684
342.594447,-69.6549839
342.591688,-69.6549993
342.58893,-69.6550147
342.586173,-69.65503
342.583416,-69.6550453
342.58066,-69.6550606
342.577904,-69.6550758
342.575148,-69.655091
342.572393,-69.6551061
342.569639,-69.6551212
342.566885,-69.6551363
342.564132,-69.6551513
342.561379,-69.6551663
342.558627,-69.6551812
342.555875,-69.6551961
342.553123,-69.6552109
342.550372,-69.6552257
342.547622,-69.6552404
342.544872,-69.6552552
342.542123,-69.6552698
342.539374,-69.6552845
342.536626,-69.655299
342.533878,-69.6553136
342.53113,-69.6553281
342.528384,-69.6553425
342.525637,-69.655357
342.522891,-69.6553713
342.520146,-69.6553857
342.517401,-69.6553999
342.514657,-69.6554142
342.511913,-69.6554284
342.50917,-69.6554426
342.506427,-69.6554567
342.503684,-69.6554708
342.500943,-69.6554848
342.498201,-69.6554988
342.49546,-69.6555127
342.49272,-69.6555266
342.48998,-69.6555405
342.487241,-69.6555543
342.484502,-69.6555681
342.481764,-69.6555819
342.479026,-69.6555956
342.476288,-69.6556092
342.473552,-69.6556228
342.470815,-69.6556364
342.468079,-69.65565
342.465344,-69.6556634
342.462609,-69.6556769
342.459875,-69.6556903
342.457141,-69.6557037
342.454407,-69.655717
342.451675,-69.6557303
342.448942,-69.6557435
342.44621,-69.6557567
342.443479,-69.6557699
